record_type,concept_id,status,zh_hit,en_hit,zh_artifact,en_artifact,evidence,reason,next_action
artifact_pair,markdown_pair,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,non-empty paired artifact files,paired artifacts exist and are current,keep both artifacts regenerated after manuscript edits
artifact_pair,latex_source_pair,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,non-empty paired artifact files,paired artifacts exist and are current,keep both artifacts regenerated after manuscript edits
artifact_pair,pdf_pair,ready,True,True,doctor/paper2/latex/main-zh.pdf,doctor/paper2/latex/main.pdf,non-empty paired artifact files,paired artifacts exist and are current,keep both artifacts regenerated after manuscript edits
markdown_concept,synthetic_mvp_scope,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: 24 个 synthetic trial; en: 24 synthetic trials,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,synthetic_mvp_scope,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: 24 个 synthetic trial; en: 24 synthetic trials,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,jsonl_audit_records,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: 120 行 JSONL 审计轨迹; en: 120 JSONL audit records,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,b0_conflict_f1,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: B0 的冲突检出 F1 为 0.7500; en: B0 obtains a conflict-detection F1 of 0.7500,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,b0_conflict_f1,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: B0 的冲突检出 F1 为 0.7500; en: B0 obtains a conflict-detection F1 of 0.7500,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,b0_hallucination_rate,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: B0 的幻觉率为 0.6250; en: B0 obtains a hallucination rate of 0.6250,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,b0_hallucination_rate,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: B0 的幻觉率为 0.6250; en: B0 obtains a hallucination rate of 0.6250,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,b2_conflict_f1,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: B2 的冲突检出 F1 达到 1.0000; en: B2 reaches an F1 of 1.0000,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,b2_conflict_f1,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: B2 的冲突检出 F1 达到 1.0000; en: B2 reaches an F1 of 1.0000,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,b2_hallucination_rate,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: B2 的幻觉率降至 0.0000; en: B2 reduces hallucination rate to 0.0000,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,b2_hallucination_rate,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: B2 的幻觉率降至 0.0000; en: B2 reduces hallucination rate to 0.0000,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,b4_fhir_valid_rate,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: B4 将 FHIR 有效率提升至 0.6250; en: B4 improves the FHIR valid rate to 0.6250,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,b4_fhir_valid_rate,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: B4 将 FHIR 有效率提升至 0.6250; en: B4 improves the FHIR valid rate to 0.6250,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,sample_dataset_replay,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: sample_open_csv no-PHI fixture; en: sample_open_csv fixture,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,dataset_compliance_audit,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: dataset_compliance_audit; en: dataset_compliance_audit,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,entity_map_placeholder,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: placeholder-only; en: placeholder-only,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,entity_map_placeholder,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: placeholder-only; en: placeholder-only,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,licensed_ontology_identifier_audit,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: run_ontology_identifier_audit.py 会输出 licensed_ontology_identifiers.template.csv; en: run_ontology_identifier_audit.py writes licensed_ontology_identifiers.template.csv,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,graph_attention_lite,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: graph-attention-lite; en: graph-attention-lite,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,graph_attention_lite,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: graph-attention-lite; en: graph-attention-lite,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,large_gnn_evidence_audit,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: run_large_gnn_evidence_audit.py 会输出 large_gnn_evidence.template.csv; en: run_large_gnn_evidence_audit.py writes large_gnn_evidence.template.csv,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,large_gnn_evidence_audit,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: run_large_gnn_evidence_audit.py 会输出 large_gnn_evidence.template.csv; en: run_large_gnn_evidence_audit.py writes large_gnn_evidence.template.csv,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,fhir_validator_replay,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: FHIR validator replay 导出 120 个 Bundle JSON; en: FHIR validator replay exports 120 Bundle JSON artifacts,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,official_fhir_validator_blocked,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: official-validator audit 在默认离线运行中保持 blocked; en: official-validator audit is blocked in the default offline run,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,official_fhir_validator_blocked,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: official-validator audit 在默认离线运行中保持 blocked; en: official-validator audit is blocked in the default offline run,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,real_expert_review_gate,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: run_real_expert_review.py 输出 real_annotations.template.csv; en: run_real_expert_review.py writes real_annotations.template.csv,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,franka_closed_loop_gate,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: Franka API/Gazebo/FR3 闭环证据; en: Franka API/Gazebo/FR3 closed-loop evidence,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,closed_loop_summary,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: closed_loop_summary 汇总 synthetic 本地闭环时延; en: closed_loop_summary latency summary reports synthetic local timing,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,closed_loop_summary,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: closed_loop_summary 汇总 synthetic 本地闭环时延; en: closed_loop_summary latency summary reports synthetic local timing,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,readiness_counts,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,"zh: 18 个 gate 中 ready 7 个、partial 1 个、blocked 10 个; en: 7 of 18 gates are ready, 1 is partial, and 10 are blocked",concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,readiness_counts,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,"zh: 18 个 gate 中 ready 7 个、partial 1 个、blocked 10 个; en: 7 of 18 gates are ready, 1 is partial, and 10 are blocked",concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,required_gate_counts,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: 投稿必需 gate 为 3/13 ready; en: 3 of 13 submission-required gates are ready,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,submission_ready_no,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: submission-ready 为 no; en: submission-ready is no,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,submission_ready_no,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: submission-ready 为 no; en: submission-ready is no,concept appears in both language artifacts,keep this evidence synchronized in both language versions
markdown_concept,no_clinical_validation,ready,True,True,docs-zh/paper2/论文II_中文稿_20260531.md,docs-zh/paper2/PaperII_English_Draft_20260531.md,zh: 不构成临床验证; en: not clinical validation,concept appears in both language artifacts,keep this evidence synchronized in both language versions
latex_concept,no_clinical_validation,ready,True,True,doctor/paper2/latex/main-zh.tex,doctor/paper2/latex/main.tex,zh: 不构成临床验证; en: not clinical validation,concept appears in both language artifacts,keep this evidence synchronized in both language versions
