trial_id,case_id,conflict_label,embedding_score,gamma_conflict,predicted_conflict,conflict_type
embed_0000,case_clear_fever,False,0.9335,0.8512,False,none
embed_0001,case_blur_fever,True,0.9335,0.7336,True,vision_low_quality
embed_0002,case_cold_pale,False,0.8805,0.8344,False,none
embed_0003,case_cold_yellow_conflict,True,-0.5382,0.3188,True,text_vision_contradiction
embed_0004,case_missing_text,True,0.0,0.3108,True,text_missing_entity
embed_0005,case_mouth_bitter,False,0.9106,0.8296,False,none
embed_0006,case_mouth_bitter_white_conflict,True,-0.4978,0.348,True,text_vision_contradiction
embed_0007,case_occluded_cold,True,0.841,0.7504,True,vision_low_quality
embed_0008,case_clear_fever,False,0.9335,0.8512,False,none
embed_0009,case_blur_fever,True,0.9335,0.7336,True,vision_low_quality
embed_0010,case_cold_pale,False,0.8805,0.8344,False,none
embed_0011,case_cold_yellow_conflict,True,-0.5382,0.3188,True,text_vision_contradiction
embed_0012,case_missing_text,True,0.0,0.3108,True,text_missing_entity
embed_0013,case_mouth_bitter,False,0.9106,0.8296,False,none
embed_0014,case_mouth_bitter_white_conflict,True,-0.4978,0.348,True,text_vision_contradiction
embed_0015,case_occluded_cold,True,0.841,0.7504,True,vision_low_quality
embed_0016,case_clear_fever,False,0.9335,0.8512,False,none
embed_0017,case_blur_fever,True,0.9335,0.7336,True,vision_low_quality
embed_0018,case_cold_pale,False,0.8805,0.8344,False,none
embed_0019,case_cold_yellow_conflict,True,-0.5382,0.3188,True,text_vision_contradiction
embed_0020,case_missing_text,True,0.0,0.3108,True,text_missing_entity
embed_0021,case_mouth_bitter,False,0.9106,0.8296,False,none
embed_0022,case_mouth_bitter_white_conflict,True,-0.4978,0.348,True,text_vision_contradiction
embed_0023,case_occluded_cold,True,0.841,0.7504,True,vision_low_quality
