review_item_id,baseline,case_id,conflict_label,predicted_conflict,final_route_decision,fhir_valid,hallucination_flag,symptom_text,vision_tags,kg_matches,emr_summary
review_b0_001,B0,case_clear_fever,False,False,generate_emr,True,False,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b0_002,B0,case_blur_fever,True,False,generate_emr,True,True,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b0_003,B0,case_cold_pale,False,False,generate_emr,True,False,Patient reports cold aversion and fatigue.,pale_tongue|thin_white_coating,3,Evidence-aligned draft generated by Paper II MVP.
review_b0_004,B0,case_cold_yellow_conflict,True,True,generate_emr,True,True,Patient reports cold aversion and fatigue.,yellow_greasy_coating,1,Evidence-aligned draft generated by Paper II MVP.
review_b0_005,B0,case_missing_text,True,True,generate_emr,True,True,Patient reports feeling unwell for several days.,red_tongue,0,Evidence-aligned draft generated by Paper II MVP.
review_b0_006,B0,case_mouth_bitter,False,False,generate_emr,False,False,Patient reports mouth bitter and nausea after meals.,yellow_greasy_coating,2,Evidence-aligned draft generated by Paper II MVP.
review_b0_007,B0,case_mouth_bitter_white_conflict,True,True,generate_emr,True,True,Patient reports mouth bitter and nausea after meals.,thin_white_coating,1,Evidence-aligned draft generated by Paper II MVP.
review_b0_008,B0,case_occluded_cold,True,False,generate_emr,False,True,Patient reports cold aversion and fatigue.,pale_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b1_001,B1,case_clear_fever,False,False,generate_emr,True,False,Patient reports fever and sore throat for two days.,red_tongue,2,Evidence-aligned draft generated by Paper II MVP.
review_b1_002,B1,case_blur_fever,True,True,resample_vision,False,False,Patient reports fever and sore throat for two days.,red_tongue,2,not generated
review_b1_003,B1,case_cold_pale,False,False,generate_emr,True,False,Patient reports cold aversion and fatigue.,pale_tongue|thin_white_coating,3,Evidence-aligned draft generated by Paper II MVP.
review_b1_004,B1,case_cold_yellow_conflict,True,True,generate_emr,True,True,Patient reports cold aversion and fatigue.,yellow_greasy_coating,1,Evidence-aligned draft generated by Paper II MVP.
review_b1_005,B1,case_missing_text,True,True,ask_followup,False,False,Patient reports feeling unwell for several days.,red_tongue,0,not generated
review_b1_006,B1,case_mouth_bitter,False,False,generate_emr,False,False,Patient reports mouth bitter and nausea after meals.,yellow_greasy_coating,2,Evidence-aligned draft generated by Paper II MVP.
review_b1_007,B1,case_mouth_bitter_white_conflict,True,True,generate_emr,True,True,Patient reports mouth bitter and nausea after meals.,thin_white_coating,1,Evidence-aligned draft generated by Paper II MVP.
review_b1_008,B1,case_occluded_cold,True,True,resample_vision,False,False,Patient reports cold aversion and fatigue.,pale_tongue,2,not generated
